Gene	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F
NKD1	0.41747	-1.36216	-0.71790	0.81355	-0.99932	1.00953
WNT11	-1.71880	-0.64010	-0.71494	-0.38599	0.32162	1.41303
AXIN2	-1.05827	-0.47722	-1.05792	0.74879	-0.03951	0.24314
ASCL2	-1.54680	0.53730	-0.82645	0.46042	0.70568	1.19680
SP5	-1.03032	0.03265	0.07821	-0.22974	1.06891	0.92584
FRMD5	-2.00820	0.44039	-0.61214	-1.06631	0.92793	-0.38459
LGR5	-1.31412	0.01329	-0.18615	-0.50581	0.89211	-0.69157
RUNX2	-0.35784	1.13746	-1.11430	-0.07536	0.16036	0.08918
SOX4	-2.02481	0.31917	0.45838	-0.87143	-0.42142	2.83354
PROX1	0.57267	0.56163	0.91096	-0.28699	0.43269	2.31505
PGM2L1	0.29959	0.37266	-1.49516	0.08142	0.07296	2.60223
MEX3A	-0.61467	0.47627	-0.04404	0.82012	-0.02598	1.67944
GDF11	-1.14351	-1.11067	-0.59910	-0.22375	-0.37161	1.39258
NOTUM	-1.57597	-1.70484	0.39506	-1.32942	1.04033	0.09200
CRABP2	-1.31041	0.03644	-0.22709	0.18738	0.94350	1.72836
ARL4C	-0.29416	-0.33422	-1.32305	-0.23274	-0.44534	-0.11461
GRAMD1A	-0.10075	-0.95697	0.75453	0.80804	1.41450	-0.15217
ZNRF3	-0.78709	0.48702	-0.46839	0.00392	-1.38549	0.96436
NEBL	-1.70700	-1.02857	-0.46181	0.95416	1.86524	1.29044
BCL2L15	-0.00661	-0.37490	-0.69771	0.15978	-0.56277	1.82762
TBX3	-0.94359	-0.12876	2.98149	1.32621	0.49172	1.44092
ZNF503	-0.26630	0.04349	-1.40871	2.32531	-1.47938	0.73703
CCND1	-1.91471	-2.03815	-0.37215	-0.33013	2.64214	-0.33576
MPP7	-0.53655	-0.29914	-0.58122	0.94215	1.96617	-0.56301
ILF2	-0.65291	-1.43201	1.17809	0.84101	2.31763	1.15511
RNF43	0.77284	-1.70259	-0.62317	0.41214	-0.54324	2.34378
BMP7	-0.09542	-0.34049	1.47023	-0.17105	0.45867	0.87501
SMAD7	-1.40259	-1.23767	-0.11678	1.87839	-0.03358	1.10296
TCF7	-2.38783	-1.13148	-0.96871	-0.37070	1.47021	1.54236
C1orf198	-2.03742	-1.31829	-0.21896	-1.03181	1.27883	1.01670
NRARP	-2.02291	-0.55772	0.44090	0.11347	0.10255	0.16114
SGPL1	-1.83906	-1.91308	-1.09869	-0.10210	1.64567	1.39263
MOSPD1	-0.84851	-1.03559	-0.07642	0.66665	2.35242	1.16913
ABLIM1	-0.04563	0.53694	-0.98204	0.34353	0.32929	1.16358
MSX2	-1.62559	0.84473	-1.09890	0.27088	-0.26645	0.71265
PPFIBP1	-1.39008	-0.26176	1.91735	-1.04909	0.62050	-0.17267
CPLX2	-0.02172	0.54716	0.15277	0.67473	0.16058	0.61418
HNRNPA0	-1.51365	-0.47025	-1.91782	0.37185	-0.56016	1.72299
ACTR3B	0.17836	-0.45469	-0.39843	-0.09009	-0.14169	1.38231
SLC2A3	-0.31129	-2.62583	-1.50786	0.36638	0.93155	1.26106
HMGB3	-2.21805	-0.55999	-0.12858	-0.13069	2.25427	0.86868
EFNA4	-2.32494	0.50920	-0.55007	0.05716	0.65034	0.26834
BMP4	-2.06166	-0.52286	0.39432	1.94760	0.18118	0.09671
THG1L	-0.02716	-0.57783	-0.66333	0.44868	0.54409	-1.21071
VLDLR	-0.95372	-1.67776	0.53107	0.03210	1.55927	1.30566
TMEM45A	-1.30980	-1.07076	0.98062	0.79922	-0.01380	2.46224
SEMA3C	-0.79217	-1.48605	-0.93080	-0.94038	1.01208	0.78851
SLC2A14	-0.44309	0.89264	-0.73236	-0.17642	0.97924	0.49670
NREP	-2.60645	-1.41751	-0.49660	0.13802	0.22541	0.15105
FABP5	-1.12923	-1.20523	-0.53481	1.31607	0.67251	0.33336
METAP2	0.86795	1.36725	-0.79647	0.72370	-0.47712	0.62455
SEMA5A	-0.32679	-0.78222	-0.42916	1.24829	0.69380	1.96599
RORA	-2.20039	-0.76211	-3.73598	-0.15936	0.36503	1.26384
RHOBTB3	-2.06678	0.82004	1.19070	0.02046	0.56473	0.36435
NTRK2	-0.98326	-0.56368	0.98567	0.04018	-0.54350	1.56931
OLR1	-0.70206	-1.01987	-1.91214	0.92018	-0.58465	1.07611
APCDD1	0.56611	-0.31506	-1.05282	-0.93898	-0.54590	1.41236
STXBP6	1.14039	-0.71359	-1.54246	0.25285	0.60407	0.56411
EDAR	-0.94095	-0.68920	0.71385	-0.00649	0.96646	2.80462
HUNK	-1.31670	-0.62287	-0.51078	-0.78011	1.26080	0.67154
TPD52L1	-0.20771	-0.37879	-0.42736	1.16829	0.53931	1.32732
TNFRSF19	0.46071	-0.89205	1.02166	1.25143	0.10134	1.36032
ETS2	-2.31504	-0.01617	-1.08398	-0.13153	0.59964	2.88042
VSNL1	-0.55858	-0.57641	1.45078	2.59200	0.64671	2.81914
ADRA2C	-1.80040	-0.82754	-1.40583	-0.30728	0.19000	0.38171
ABHD6	-0.89572	-1.45697	1.12889	-0.49176	0.66844	2.21801
STEAP1	-2.54624	-0.47905	-0.78885	-0.58571	0.85198	1.27795
CDK5R1	-2.09585	-0.99865	0.90897	0.16296	2.48633	1.34473
ENC1	-1.62276	-1.95001	-1.46060	0.05824	-0.24028	0.22297
SLC12A2	-2.79609	-3.05917	-0.88787	-1.00623	0.05566	1.31898
FERMT1	-1.76168	-1.42085	0.67961	-0.08220	-0.21928	1.39131
RABEPK	0.52575	-0.97031	-0.46040	1.07654	0.61192	-0.09142
PSAT1	-0.34063	-2.35808	-1.54851	1.80219	2.23808	2.10234
PHGDH	-1.68666	-0.85810	-1.06525	-0.08320	-0.94089	0.75801
EIF4EBP1	-1.17777	-1.28377	0.10561	1.01105	0.89705	-0.09356
SUSD4	-2.21125	-0.61289	0.53638	-0.42251	0.01536	0.08208
ASNS	-2.03193	-0.24943	0.05483	1.17671	1.32769	1.13648
FANCG	0.89934	-1.40845	2.19544	-0.67165	0.07400	1.98384
PSMG1	0.24090	-0.03095	-1.08821	-0.07962	1.90278	2.00161
TESC	-1.58101	-0.12189	0.32748	1.37929	0.90776	2.34070
CDK4	-0.93855	-2.64225	-1.02904	-0.76816	0.11674	0.63872
FAM216A	-1.21218	-0.50765	-0.69018	-1.14526	0.04949	2.13824
DPYSL3	-1.99496	-0.49733	0.11549	-1.04300	-0.51953	0.98494
CCNB1IP1	-0.24544	-0.58648	-1.59016	0.54964	-0.03192	2.03014
LDLRAD3	-1.38530	-0.86698	0.84198	-0.61359	0.93834	1.43038
OSBPL6	-1.57523	-1.28987	-0.79563	0.45862	0.02199	1.22732
